dataset,method,classifier,fold,kfold,fmin,gmin,max_size,svc_C,pattern_type,closed_multiset,accuracy,pattern_number,extraction_time,time
asl-bu,occurrence,SVC,0,5,0.6,0.0,0,0.001,relevant,False,0.367816091954023,161,239.26017182100622,256.94517172400083
asl-bu,occurrence,SVC,0,5,0.6,0.0,0,0.01,relevant,False,0.367816091954023,161,239.26017182100622,256.94771772500826
asl-bu,occurrence,SVC,0,5,0.6,0.0,0,0.1,relevant,False,0.40229885057471265,161,239.26017182100622,256.94227128299826
asl-bu,occurrence,SVC,0,5,0.6,0.0,0,1,relevant,False,0.6091954022988506,161,239.26017182100622,256.9341509040096
asl-bu,occurrence,SVC,0,5,0.6,0.0,0,10,relevant,False,0.7011494252873564,161,239.26017182100622,256.9425107200077
asl-bu,occurrence,SVC,0,5,0.6,0.0,0,100,relevant,False,0.6666666666666666,161,239.26017182100622,256.97546505999344
asl-bu,occurrence,SVC,0,5,0.6,0.0,0,1000,relevant,False,0.6436781609195402,161,239.26017182100622,256.96476716100005
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,0.001,relevant,False,0.367816091954023,240,58.8529640250199,85.52215984000941
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,0.01,relevant,False,0.367816091954023,240,58.8529640250199,85.52213064000534
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,0.1,relevant,False,0.40229885057471265,240,58.8529640250199,85.51983320800355
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,1,relevant,False,0.5402298850574713,240,58.8529640250199,85.50849723799911
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,10,relevant,False,0.6206896551724138,240,58.8529640250199,85.4978483520099
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,100,relevant,False,0.6206896551724138,240,58.8529640250199,85.4955376440048
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,1000,relevant,False,0.6091954022988506,240,58.8529640250199,85.49578038000618
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,0.001,relevant,False,0.367816091954023,309,97.47556909198465,120.40435526201327
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,0.01,relevant,False,0.367816091954023,309,97.47556909198465,120.40542456600815
